City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Dicabisagan,PH,80.69,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
400,Phalaborwa,ZA,85.28,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
405,Alenquer,BR,88.14,broken clouds,-1.9417,-54.7383,Josilene Castro
406,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
409,Veraval,IN,80.08,overcast clouds,20.9,70.3667,Lords Inn Somnath
411,Nacala,MZ,77.04,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
414,Mocuba,MZ,75.31,clear sky,-16.8392,36.9856,Phama Lodge
416,Santa Cruz Cabralia,BR,79.03,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
420,Botro,CI,87.28,few clouds,7.8525,-5.3106,Motel de la Station BOTRO
421,Gouyave,GD,86.77,scattered clouds,12.1646,-61.7296,Rumboat Retreat
422,Igbo Ora,NG,84.07,overcast clouds,7.4333,3.2833,Pinkbell Inn
426,Padang,ID,75.25,light rain,-0.9492,100.3543,Mercure Padang
429,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
431,Monte Alegre,BR,89.15,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
432,Careiro Da Varzea,BR,88.43,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
433,Fare,PF,79.21,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
436,Zhuhai,CN,75.06,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
438,Mahibadhoo,MV,82.6,overcast clouds,3.7833,72.9667,Omadhoo Inn
441,Sao Filipe,CV,79.32,scattered clouds,14.8961,-24.4956,Hotel Xaguate
442,Beruwala,LK,77.43,moderate rain,6.4788,79.9828,The Palms Hotel
446,Mecca,SA,80.02,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
449,Plaridel,PH,80.91,heavy intensity rain,14.8872,120.8572,St. Agatha Resort
451,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
452,George Town,MY,78.73,scattered clouds,5.4112,100.3354,Cititel Penang
455,Batangafo,CF,80.89,overcast clouds,7.3008,18.2833,OCHA Office
460,Bandarbeyla,SO,78.48,clear sky,9.4942,50.8122,JABIR HOTEL
465,Sawang Daen Din,TH,84.07,few clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
470,Matara,LK,76.21,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
477,Monrovia,LR,83.97,overcast clouds,6.3005,-10.7969,Sunset Inn
479,Rosario,AR,80.6,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
480,Taranagar,IN,75.7,clear sky,28.6709,75.0351,Jyani Plaza
482,Kavaratti,IN,81.54,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
489,Ormara,PK,78.85,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
492,Gweta,BW,86.81,overcast clouds,-20.1833,25.2333,Gweta Lodge
494,Itarema,BR,84.27,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
497,Guarapari,BR,76.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
500,Berbera,SO,82.92,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
505,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
507,Palenque,MX,80.76,scattered clouds,17.5167,-91.9667,Hotel Chablis Palenque
508,Mlonggo,ID,81.1,overcast clouds,-6.5333,110.7,Asia Metal Art
513,Mattru,SL,76.91,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
514,Miandrivazo,MG,80.04,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
518,Lahaina,US,78.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
526,Vanimo,PG,77.58,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
534,Morondava,MG,78.98,broken clouds,-20.2833,44.2833,La Case Bambou
537,Pedernales,DO,85.03,overcast clouds,18.0384,-71.744,Hotel Costa Marina
538,Fomboni,KM,80.58,overcast clouds,-12.28,43.7425,Auberge les abou
540,Manokwari,ID,79.88,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
546,Kupang,ID,80.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
547,Kirakira,SB,80.04,clear sky,-10.4544,161.9205,SanBiz Lodge
548,Louis Trichardt,ZA,78.42,overcast clouds,-23.0439,29.9032,139 on Munnik Guest House
554,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
562,Pangai,TO,78.91,light rain,-19.8,-174.35,Ha'apai Beach Resort
569,Remanso,BR,79.95,overcast clouds,-9.6179,-42.0831,Hotel Mangueira
572,Bol,TD,84.54,overcast clouds,13.4586,14.7147,Hotel 3 Etoiles
573,Kailua,US,78.78,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
576,Lorengau,PG,80.24,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
577,Hirara,JP,78.15,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
578,Tucuman,AR,77.0,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
579,Labuhan,ID,81.86,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
584,Mendoza,AR,80.13,clear sky,-32.8908,-68.8272,Hotel Mendoza
586,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
589,Hue,VN,80.71,broken clouds,16.4667,107.6,Saigon Morin Hotel
590,Vieques,PR,89.85,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
595,Saint-Georges,GD,87.48,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
597,Luanda,AO,76.6,overcast clouds,-8.8368,13.2343,Hotel Fórum
599,Sumbe,AO,75.52,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
602,Kutum,SD,75.72,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
603,Quijingue,BR,84.22,overcast clouds,-10.7525,-39.2092,Pousada Sabor Da Terra
606,Biak,ID,76.96,broken clouds,-0.9131,122.8766,Penginapan Kim
610,Prieska,ZA,76.15,broken clouds,-29.6641,22.7474,Avenue GuestHouse
613,Boa Vista,BR,84.18,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
615,Karoi,ZW,76.57,clear sky,-16.8099,29.6925,Chikangwe Guest houses
618,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
619,Santa Fe,AR,83.01,scattered clouds,-31.6333,-60.7,Conquistador Hotel
620,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
629,Le Port,RE,75.2,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
630,Sinnamary,GF,82.6,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
631,Dakar,SN,86.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
632,Tecolutla,MX,85.86,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
633,Safford,US,79.93,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
634,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
636,Palimbang,PH,79.18,broken clouds,6.2106,124.1894,Felmar Beach resort
641,Camopi,GF,77.43,overcast clouds,3.1655,-52.3158,La pousada
643,La Joya,MX,83.39,overcast clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
647,Esna,EG,78.82,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
651,Asyut,EG,75.38,clear sky,27.181,31.1837,Florence Hotel Assiut
656,Muscat,OM,78.82,few clouds,23.6139,58.5922,Mutrah Hotel
657,Acarau,BR,84.81,broken clouds,-2.8856,-40.12,castelo pizzaria
658,Anloga,GH,84.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
663,Port Keats,AU,82.51,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
667,Breves,BR,89.35,overcast clouds,-1.6822,-50.4803,Hotel e Restaurante Grill
677,Mandera,KE,87.48,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
678,Maningrida,AU,81.0,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
680,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
686,Sibolga,ID,75.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
697,Grenville,GD,87.85,few clouds,12.1167,-61.6167,Valley Breeze Guest House
