City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Magistralnyy,RU,56.1725,107.4458,26.2,85,100,9.19,overcast clouds
177,Yulara,AU,-25.2406,130.9889,69.64,78,48,11.5,scattered clouds
178,Atuona,PF,-9.8,-139.0333,77.92,76,7,13.35,clear sky
179,Ransang,PH,8.9603,117.5828,80.8,85,79,5.99,broken clouds
180,Agra,IN,27.1833,78.0167,72.66,34,2,1.01,clear sky
181,Fairmont,US,39.4851,-80.1426,61.25,38,4,1.01,clear sky
182,Tarakan,ID,3.3,117.6333,81.84,74,93,3.4,overcast clouds
183,Tsogni,GA,-2.7942,10.0988,77.11,90,97,6.11,overcast clouds
184,Klaksvik,FO,62.2266,-6.589,41.92,68,99,8.08,overcast clouds
185,Brae,GB,60.3964,-1.353,44.51,69,69,16.75,broken clouds
186,Torit,SS,4.4133,32.5678,75.04,75,71,4.41,light rain
187,Soyo,AO,-6.1349,12.3689,80.65,83,69,10.83,broken clouds
188,Matagami,CA,49.7502,-77.6328,44.71,93,90,8.05,overcast clouds
189,Walvis Bay,NA,-22.9575,14.5053,63.55,67,7,17.27,clear sky
190,Chicama,PE,-7.8447,-79.1469,63.14,63,83,10.74,broken clouds
191,Lazaro Cardenas,MX,17.9583,-102.2,85.44,64,47,1.52,scattered clouds
192,Leona Vicario,MX,20.9667,-87.1917,82.81,51,24,6.38,few clouds
193,Northam,GB,51.0333,-4.2167,51.62,73,96,10.89,overcast clouds
194,Plattsburgh,US,44.6995,-73.4529,57.52,55,1,1.99,clear sky
195,Isangel,VU,-19.55,169.2667,70.21,86,53,5.75,broken clouds
196,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,64,0,13.8,clear sky
197,La Asuncion,VE,11.0333,-63.8628,83.52,71,9,14.94,clear sky
198,Slonim,BY,53.0867,25.3219,46.53,63,100,15.88,overcast clouds
199,Turayf,SA,31.6725,38.6637,64.65,39,0,9.22,clear sky
200,Hualmay,PE,-11.0964,-77.6139,69.26,74,91,10.0,overcast clouds
201,Karratha,AU,-20.7377,116.8463,74.32,68,11,16.71,few clouds
202,Margate,GB,51.3813,1.3862,49.69,67,93,4.0,overcast clouds
203,Kieta,PG,-6.2167,155.6333,79.48,77,83,3.47,broken clouds
204,Palana,RU,59.1167,159.9667,23.07,81,98,10.2,overcast clouds
205,Alice Springs,AU,-23.7,133.8833,63.95,94,16,4.61,few clouds
206,New Norfolk,AU,-42.7826,147.0587,48.9,69,89,1.45,overcast clouds
207,Upernavik,GL,72.7868,-56.1549,12.56,92,71,14.09,broken clouds
208,Hasaki,JP,35.7333,140.8333,57.6,61,70,15.95,broken clouds
209,Longyearbyen,SJ,78.2186,15.6401,15.64,57,75,12.66,broken clouds
210,Provideniya,RU,64.3833,-173.3,13.77,93,71,5.32,broken clouds
211,Saint-Philippe,RE,-21.3585,55.7679,74.79,82,74,9.35,broken clouds
212,Pisco,PE,-13.7,-76.2167,70.02,73,0,13.8,clear sky
213,Alta Floresta,BR,-9.8756,-56.0861,85.82,58,40,5.75,scattered clouds
214,San Juan,AR,-31.5375,-68.5364,81.34,19,45,7.29,scattered clouds
215,Tevaitoa,PF,-16.7833,-151.5,79.2,75,9,8.21,light rain
216,Tombouctou,ML,20.0,-3.0,84.63,17,77,7.05,broken clouds
217,Hurghada,EG,27.2574,33.8129,75.78,58,0,8.59,clear sky
218,Thabazimbi,ZA,-24.5917,27.4116,77.2,58,100,4.41,light rain
219,Samarai,PG,-10.6167,150.6667,82.24,79,37,13.51,scattered clouds
220,Quang Ngai,VN,15.1167,108.8,76.28,87,89,5.46,overcast clouds
221,Visnes,NO,59.3556,5.2242,48.22,93,40,8.05,light rain
222,Belyy Yar,RU,53.6039,91.3903,35.49,55,0,11.18,clear sky
223,Bac,RS,45.3919,19.2367,46.4,83,66,3.18,broken clouds
224,Tiksi,RU,71.6872,128.8694,7.88,77,91,17.36,overcast clouds
225,Constantine,DZ,36.365,6.6147,54.81,66,40,5.75,scattered clouds
226,Namibe,AO,-15.1961,12.1522,69.3,75,59,4.99,broken clouds
227,Ust-Ilimsk,RU,58.0006,102.6619,29.73,95,100,13.33,snow
228,Gewane,ET,10.1664,40.6453,85.19,21,27,10.07,scattered clouds
229,Victor Harbor,AU,-35.5667,138.6167,57.29,75,37,5.64,scattered clouds
230,Paka,MY,4.6374,103.4368,75.13,100,51,0.0,broken clouds
231,Merauke,ID,-8.4667,140.3333,78.48,90,72,5.1,broken clouds
232,Caucaia,BR,-3.7361,-38.6531,85.95,75,20,13.8,few clouds
233,Ribeira Grande,PT,38.5167,-28.7,70.2,88,75,21.85,broken clouds
234,Abnub,EG,27.2696,31.1511,75.42,36,0,7.25,clear sky
235,Muzhi,RU,65.3667,64.6667,31.6,82,100,11.03,overcast clouds
236,Carnarvon,AU,-24.8667,113.6333,66.27,68,15,19.57,few clouds
237,Araouane,ML,18.9048,-3.5265,87.78,16,68,9.33,broken clouds
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,71,48,14.34,scattered clouds
239,Kirkwall,GB,58.9848,-2.9587,48.25,88,75,18.41,broken clouds
240,Kamra,PK,33.7473,73.5111,53.96,35,0,9.42,clear sky
241,Port Blair,IN,11.6667,92.75,80.46,84,100,8.93,overcast clouds
242,Fortuna,US,40.5982,-124.1573,54.99,75,1,1.99,clear sky
243,Otradnoye,RU,59.7775,30.8181,40.03,97,100,7.45,moderate rain
244,Urumqi,CN,43.801,87.6005,16.75,68,0,4.47,clear sky
245,Porto Walter,BR,-8.2686,-72.7439,84.43,65,92,2.95,overcast clouds
246,Jiwani,PK,25.05,61.7417,78.33,60,0,6.85,clear sky
247,Saint-Joseph,RE,-21.3667,55.6167,73.78,82,51,10.27,broken clouds
248,Pangnirtung,CA,66.1451,-65.7125,19.4,63,20,5.75,few clouds
249,San Andres,CO,12.5847,-81.7006,87.82,70,40,12.66,scattered clouds
250,Vardo,NO,70.3705,31.1107,30.18,69,75,18.41,light snow
251,Abucay,PH,14.7667,120.4833,79.41,84,83,3.18,broken clouds
252,Rawson,AR,-43.3002,-65.1023,68.9,37,69,12.39,broken clouds
253,Nushki,PK,29.5542,66.0215,60.21,31,0,3.06,clear sky
254,Mpulungu,ZM,-8.7623,31.1141,81.97,45,70,3.31,broken clouds
255,Along,IN,28.1667,94.7667,56.5,64,26,1.9,scattered clouds
256,Huaihua,CN,27.5494,109.9592,44.55,85,100,4.34,light rain
257,Ancud,CL,-41.8697,-73.8203,60.33,90,100,5.7,overcast clouds
258,Lagoa,PT,39.05,-27.9833,68.61,82,9,28.9,clear sky
259,Sitka,US,57.0531,-135.33,39.09,70,40,4.61,scattered clouds
260,Lokosovo,RU,61.1333,74.8167,34.81,95,100,13.56,overcast clouds
261,Axim,GH,4.8699,-2.2405,80.08,81,53,8.61,broken clouds
262,Awjilah,LY,29.1081,21.2869,73.29,37,0,7.43,clear sky
263,Ponta Do Sol,PT,32.6667,-17.1,69.71,62,9,6.85,clear sky
264,Jaypur,IN,18.85,82.5833,63.99,80,86,2.95,overcast clouds
265,Tambopata,PE,-12.7333,-69.1833,71.49,73,75,4.61,broken clouds
266,Nome,US,64.5011,-165.4064,14.07,79,90,3.44,overcast clouds
267,Batagay,RU,67.6333,134.6333,-19.55,95,21,5.39,few clouds
268,Wanlaweyn,SO,2.6185,44.8938,79.5,71,88,13.33,overcast clouds
269,Sur,OM,22.5667,59.5289,76.89,55,0,3.33,clear sky
270,Zhigansk,RU,66.7697,123.3711,4.66,94,100,22.59,overcast clouds
271,Laguna,US,38.421,-121.4238,61.14,61,1,3.0,clear sky
272,Ambilobe,MG,-13.2,49.05,78.96,76,36,1.21,scattered clouds
273,Bandundu,CD,-3.3167,17.3667,72.32,91,97,1.05,overcast clouds
274,Yellowknife,CA,62.456,-114.3525,30.42,85,75,10.36,broken clouds
275,Kavieng,PG,-2.5744,150.7967,82.29,79,23,14.76,light rain
276,Keflavik,IS,64.0049,-22.5624,36.03,75,90,13.8,light rain
277,Ouargaye,BF,11.5033,0.0572,90.32,21,11,2.93,few clouds
278,Charters Towers,AU,-20.1,146.2667,71.37,87,82,5.95,broken clouds
279,Ingham,US,42.6,-84.3833,63.25,59,1,4.61,clear sky
280,Yeppoon,AU,-23.1333,150.7333,73.18,90,100,9.26,overcast clouds
281,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,35,40,13.8,scattered clouds
282,Torbay,CA,47.6666,-52.7314,49.57,76,75,19.57,broken clouds
283,Iqaluit,CA,63.7506,-68.5145,15.53,78,20,11.99,few clouds
284,Jeremoabo,BR,-10.075,-38.4808,83.39,62,93,4.56,overcast clouds
285,Deep River,CA,46.1001,-77.4995,55.44,69,92,5.99,overcast clouds
286,Kaitangata,NZ,-46.2817,169.8464,48.49,97,61,3.31,broken clouds
287,Koster,ZA,-25.863,26.8976,66.97,67,94,1.95,light rain
288,Khadyzhensk,RU,44.4256,39.5319,54.03,96,100,2.06,overcast clouds
289,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,69,75,13.0,broken clouds
290,Kouango,CF,4.9934,19.9619,72.36,96,99,3.51,moderate rain
291,Kungurtug,RU,50.5994,97.5228,2.86,96,20,1.52,few clouds
292,Saint George,US,37.1041,-113.5841,77.47,33,1,1.01,clear sky
293,Tasiilaq,GL,65.6145,-37.6368,28.56,78,98,10.04,overcast clouds
294,Broome,US,42.2506,-75.833,58.01,41,1,1.01,clear sky
295,Tuatapere,NZ,-46.1333,167.6833,47.82,86,46,4.18,scattered clouds
296,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.48,65,67,12.77,broken clouds
297,Novouzensk,RU,50.4592,48.1431,41.74,83,95,5.91,overcast clouds
298,Pavlovka,RU,52.6897,47.1405,37.67,86,99,4.52,overcast clouds
299,Mayo,US,38.8876,-76.5119,59.2,51,1,3.0,clear sky
300,Umm Kaddadah,SD,13.6017,26.6876,87.21,19,2,9.31,clear sky
301,Vogar,IS,63.9832,-22.3874,36.16,75,90,13.8,light rain
302,Laredo,US,27.5064,-99.5075,77.0,50,1,10.36,clear sky
303,Umm Lajj,SA,25.0213,37.2685,79.92,61,0,5.48,clear sky
304,Mutoko,ZW,-17.397,32.2268,75.74,20,23,7.07,few clouds
305,Ileza,RU,61.0533,43.9002,32.43,91,53,7.74,broken clouds
