City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Paducah,US,2021-11-05 21:10:16,37.0834,-88.6001,58.05,31,1,9.22
132,Tayshet,RU,2021-11-05 21:14:38,55.9342,98.0044,22.78,56,100,13.4
133,Portland,US,2021-11-05 21:10:25,45.5234,-122.6762,57.69,74,75,1.99
134,Sungai Padi,TH,2021-11-05 21:14:38,6.0851,101.8766,79.09,98,100,1.41
135,Kambove,CD,2021-11-05 21:14:39,-10.8764,26.5969,67.82,55,99,3.71
136,Codrington,AU,2021-11-05 21:14:39,-38.2667,141.9667,66.22,73,100,11.43
137,Bethel,US,2021-11-05 21:14:39,41.3712,-73.414,51.48,48,3,1.99
138,Korla,CN,2021-11-05 21:14:40,41.7597,86.1469,24.51,43,0,6.29
139,Arraial Do Cabo,BR,2021-11-05 21:14:40,-22.9661,-42.0278,73.26,78,20,5.75
140,Reyes,BO,2021-11-05 21:15:40,-14.3167,-67.3833,92.41,43,94,7.7
141,Pointe-Noire,CG,2021-11-05 21:15:41,-4.7761,11.8635,78.04,84,99,6.13
142,Yar-Sale,RU,2021-11-05 21:15:41,66.8333,70.8333,14.72,93,71,6.17
143,Ossora,RU,2021-11-05 21:15:42,59.2353,163.0719,26.38,93,100,2.66
144,Beipiao,CN,2021-11-05 21:15:42,41.7919,120.7792,40.55,47,3,15.64
145,Sivaki,RU,2021-11-05 21:15:42,52.6333,126.75,16.14,39,1,14.12
146,Nanakuli,US,2021-11-05 21:15:43,21.3906,-158.1547,87.75,56,75,13.8
147,Shiyan,CN,2021-11-05 21:15:43,32.6475,110.7781,59.43,92,100,0.89
148,Ekhabi,RU,2021-11-05 21:15:43,53.5102,142.9671,32.68,91,100,12.28
149,Lorengau,PG,2021-11-05 21:15:44,-2.0226,147.2712,82.24,72,98,8.55
150,Tautira,PF,2021-11-05 21:15:44,-17.7333,-149.15,84.22,73,92,7.43
151,Cap-Aux-Meules,CA,2021-11-05 21:15:44,47.3821,-61.8597,41.05,60,75,10.36
152,Sur,OM,2021-11-05 21:15:44,22.5667,59.5289,75.97,59,66,6.82
153,Jaboatao,BR,2021-11-05 21:15:45,-8.1803,-35.0014,81.79,74,40,8.05
154,Touros,BR,2021-11-05 21:15:45,-5.1989,-35.4608,83.3,78,53,9.48
155,Sumkino,RU,2021-11-05 21:15:46,58.1108,68.3244,32.65,86,100,10.22
156,Lunenburg,CA,2021-11-05 21:15:46,44.3835,-64.3155,43.05,70,58,10.74
157,Balkanabat,TM,2021-11-05 21:15:46,39.5108,54.3671,42.75,18,100,6.73
158,Lixourion,GR,2021-11-05 21:15:46,38.2019,20.4314,70.72,66,86,11.03
159,Xuddur,SO,2021-11-05 21:15:47,4.1213,43.8894,74.3,78,81,12.26
160,Luba,GQ,2021-11-05 21:15:47,3.4568,8.5547,80.47,82,47,5.95
161,Bako,ET,2021-11-05 21:15:47,5.7833,36.5667,66.45,60,41,4.5
162,Wilkie,CA,2021-11-05 21:15:48,52.4168,-108.7014,49.89,66,11,11.63
